,animal_id_outcome,outcome_subtype,age_upon_outcome_(years),age_upon_outcome_age_group,outcome_monthyear,age_upon_intake,animal_id_intake,animal_type,breed,color,intake_condition,age_upon_intake_(years),intake_year,time_in_shelter_days,Adoption
77070,A764440,Suffering,2.0,"(-0.025, 2.5]",2017-12,2 years,A764440,Other,Raccoon,Gray/Black,Sick,2.0,2017,0.027777777777777776,0
17040,A682183,Partner,2.0,"(-0.025, 2.5]",2015-04,2 years,A682183,Dog,Pit Bull Mix,Blue/White,Normal,2.0,2015,99.68125,0
31027,A700902,Partner,1.0,"(-0.025, 2.5]",2015-04,1 year,A700902,Bird,Dove,Gray/Blue,Injured,1.0,2015,0.04722222222222223,0
13845,A678176,Partner,0.019178082191780826,"(-0.025, 2.5]",2014-05,1 weeks,A678176,Cat,Domestic Shorthair Mix,Orange Tabby/White,Nursing,0.019178082191780826,2014,0.0888888888888889,0
42886,A716270,Partner,4.0,"(2.5, 5.0]",2015-12,4 years,A716270,Cat,Domestic Medium Hair Mix,Brown Tabby,Normal,4.0,2015,35.93611111111111,0
48422,A724011,Partner,0.0136986301369863,"(-0.025, 2.5]",2016-04,5 days,A724011,Cat,Domestic Shorthair Mix,White,Normal,0.0136986301369863,2016,0.05555555555555555,0
42898,A716281,Rabies Risk,0.4931506849315068,"(-0.025, 2.5]",2015-11,6 months,A716281,Other,Bat,Brown,Sick,0.4931506849315068,2015,0.6868055555555557,0
60291,A739727,Suffering,1.0,"(-0.025, 2.5]",2016-12,1 year,A739727,Cat,Domestic Medium Hair Mix,Calico,Injured,1.0,2016,0.02291666666666667,0
10529,A673437,Foster,0.0821917808219178,"(-0.025, 2.5]",2014-03,3 weeks,A673437,Cat,Domestic Shorthair Mix,Cream Tabby,Normal,0.05753424657534247,2014,25.265277777777783,1
5919,A666602,Partner,0.0,"(-0.025, 2.5]",2013-11,0 years,A666602,Dog,Beagle/Chihuahua Shorthair,White,Normal,0.0,2013,0.052083333333333336,0
27271,A695697,SCRP,0.410958904109589,"(-0.025, 2.5]",2015-01,4 months,A695697,Cat,Domestic Shorthair Mix,Black/White,Normal,0.3287671232876712,2015,0.7256944444444445,0
4633,A664778,Aggressive,4.0,"(2.5, 5.0]",2013-10,4 years,A664778,Dog,Pit Bull/Boxer,Brown/White,Normal,4.0,2013,15.682638888888887,0
63461,A744471,Partner,1.0,"(-0.025, 2.5]",2017-03,1 year,A744471,Dog,Dachshund Mix,Brown,Normal,1.0,2017,3.9840277777777784,0
43548,A717179,Partner,0.019178082191780826,"(-0.025, 2.5]",2015-12,1 week,A717179,Dog,Labrador Retriever Mix,White,Normal,0.019178082191780826,2015,0.07361111111111111,0
45030,A719247,Partner,1.0,"(-0.025, 2.5]",2016-01,1 year,A719247,Cat,Domestic Shorthair Mix,Seal Point,Normal,1.0,2016,10.149305555555557,0
43470,A717090,Partner,5.0,"(2.5, 5.0]",2015-12,5 years,A717090,Cat,Domestic Shorthair Mix,Brown Tabby,Injured,5.0,2015,10.261111111111113,0
42855,A716217,Partner,0.6575342465753424,"(-0.025, 2.5]",2015-11,8 months,A716217,Dog,Australian Cattle Dog Mix,White/Tan,Normal,0.6575342465753424,2015,12.045138888888893,0
